"date","plot_match","lon","lat","wind_speed_mean","lai_high_mean","lai_low_mean","temp_mean","max_temp","min_temp","vpd_mean","surf_net_sol_sum","surf_net_sol_clear_sum","top_net_sol_sum","top_net_sol_clear_sum","cloud_mean","precip_sum","CLYPPT_M_sl1_1km_ll","CLYPPT_M_sl7_1km_ll","SLTPPT_M_sl1_1km_ll","SLTPPT_M_sl7_1km_ll","SNDPPT_M_sl1_1km_ll","SNDPPT_M_sl7_1km_ll","ORCDRC_M_sl1_1km_ll","ORCDRC_M_sl7_1km_ll","CECSOL_M_sl1_1km_ll","CECSOL_M_sl7_1km_ll"
2016-01-11,"MAR-030",36.624573,-15.317267,2.51569589760246,2.46092944369094,2.02765566933105,298.956335386596,302.870415013878,294.350047964423,-0.105015133513846,9247459.30825691,12637729.1206568,14108614.891917,17337142.084507,0.483697780761855,0.000488615595557504,25,36,11,10,65,54,2,2,13,12
2016-01-12,"MAR-030",36.624573,-15.317267,1.02364862190647,2.46475311466036,2.03204012134675,298.144811660159,303.206044237582,294.552633359129,-0.0824906698386768,9562901.23339386,12608594.077976,14414260.1449651,17331346.0027772,0.681210229960478,0.00265980225252021,25,36,11,10,65,54,2,2,13,12
2016-01-13,"MAR-030",36.624573,-15.317267,1.32715051726877,2.46851398708872,2.03645051188353,297.588409469931,302.615738336715,294.085783921602,-0.0647974766547472,7946239.73143302,12519948.1392276,12900923.9812613,17345350.3254849,0.868895569153455,0.00157976715152854,25,36,11,10,65,54,2,2,13,12
2016-01-14,"MAR-030",36.624573,-15.317267,2.39026932632214,2.47228691526359,2.04085580273011,297.708612280939,302.420798218878,294.328864980835,-0.0603973366990983,8816363.4248394,12483533.3277585,13835572.2094212,17345204.1664505,0.969140229604423,0.00451236996288264,25,36,11,10,65,54,2,2,13,12
2016-01-15,"MAR-030",36.624573,-15.317267,1.708948345939,2.47711496876703,2.04580392488699,297.644775548181,301.883836383769,294.538722756599,-0.0439377441973946,7510274.43761159,12415450.832283,12578277.8347397,17346156.422932,0.976246064323827,0.00898118950687501,25,36,11,10,65,54,2,2,13,12
2016-01-16,"MAR-030",36.624573,-15.317267,1.5926531608299,2.48308967829111,2.05137383546068,296.764743162464,297.999848488535,295.279639875152,-0.0382017399611754,3586135.78136206,12377852.2342026,8834942.37101918,17328054.4653839,0.998626646117223,0.00493540733367323,25,36,11,10,65,54,2,2,13,12
2016-01-17,"MAR-030",36.624573,-15.317267,2.12410004682446,2.4890866424764,2.05694503799314,295.547224912046,297.773367167025,294.558145078315,-0.0194783654974391,3230389.25536752,12374946.1304686,8435339.92437398,17322208.1821372,0.998646992100672,0.00508160421078573,25,36,11,10,65,54,2,2,13,12
2016-01-18,"MAR-030",36.624573,-15.317267,4.48416419981266,2.49506855378196,2.06250839579168,295.07375352392,297.094676838774,293.330241594496,-0.0346247763618904,4712847.66673279,12401802.9555796,10017544.8754063,17297644.9327209,0.96677500902853,0.00266350020897785,25,36,11,10,65,54,2,2,13,12
2016-01-19,"MAR-030",36.624573,-15.317267,3.89500146707614,2.50107167227334,2.06809447377881,295.895762974901,299.703154237417,292.365174924096,-0.0697240182232354,7073788.68246532,12599444.8954878,12399652.7594952,17268914.7034929,0.79565893010646,0.000197170203956643,25,36,11,10,65,54,2,2,13,12
2016-01-20,"MAR-030",36.624573,-15.317267,3.18534126710818,2.50702600119823,2.07364573935237,296.912882283398,300.080988648584,292.403142282273,-0.0804697251411452,8490767.30929456,12714119.5843316,13514135.6085026,17224263.9642318,0.901380474976984,9.39248051420004e-05,25,36,11,10,65,54,2,2,13,12
2016-01-21,"MAR-030",36.624573,-15.317267,2.66148021581762,2.51306779897628,2.07923049976819,297.426200297499,301.131247610862,291.944577268662,-0.10637954844548,10096335.2741367,12716370.7772267,14946160.7336762,17217818.5012131,0.79195468949486,2.78821638446947e-06,25,36,11,10,65,54,2,2,13,12
2016-01-22,"MAR-030",36.624573,-15.317267,2.27085966272457,2.51902911251933,2.08480719145674,298.219369997712,303.327569850453,292.024207608404,-0.117934090377948,11205619.4056735,12811796.4657806,15649818.6105931,17180003.3482978,0.419455338023082,2.08166817117217e-17,25,36,11,10,65,54,2,2,13,12
2016-01-23,"MAR-030",36.624573,-15.317267,1.58730622072548,2.52502801968768,2.09034799981697,298.609363150551,303.036877144673,292.866638780599,-0.10914446879542,9492608.72659576,12757901.8600095,14130037.0385607,17176329.4242595,0.776491742073968,4.79998269933279e-05,25,36,11,10,65,54,2,2,13,12
2016-01-24,"MAR-030",36.624573,-15.317267,0.658199566349252,2.53105955025089,2.09593861572585,299.417808309575,303.091396064776,294.217849376362,-0.0883726772483957,10670463.3925503,12592818.8597501,15514646.3213343,17207366.3860345,0.859387636763157,0.00205799576207782,25,36,11,10,65,54,2,2,13,12
2016-01-25,"MAR-030",36.624573,-15.317267,2.12565187911217,2.53705626017349,2.10151014439136,299.541997735352,303.876185609284,294.490126442811,-0.0778180211773851,9062613.82814765,12496717.0738407,13798563.8278119,17220645.978301,0.820517907008683,0.0015868195289313,25,36,11,10,65,54,2,2,13,12
2016-01-26,"MAR-030",36.624573,-15.317267,0.779371421655543,2.54300364639166,2.10706659953188,298.94052981479,302.662439385635,295.267974289574,-0.0776506021687977,8460396.22175087,12455172.7150596,13178011.784475,17221646.9655288,0.943108815405979,0.00226828104343713,25,36,11,10,65,54,2,2,13,12
2016-01-27,"MAR-030",36.624573,-15.317267,0.314750088366577,2.54902355988139,2.11266346365949,296.772253726747,299.792462891327,294.067938383489,-0.0390336099473504,5996282.73804038,12349674.1601331,10976635.4294783,17216624.841103,0.978547703701443,0.0150931795948077,25,36,11,10,65,54,2,2,13,12
2016-01-28,"MAR-030",36.624573,-15.317267,0.725372984522644,2.55500848027271,2.11823438026283,297.567164476047,300.029849817211,294.214508305781,-0.0518137610456656,6280356.38838448,12387149.6695711,11496529.8260113,17189670.4744175,0.837590730369941,0.0032966586934571,25,36,11,10,65,54,2,2,13,12
2016-01-29,"MAR-030",36.624573,-15.317267,1.15522991716815,2.56096942266672,2.12380761534464,298.010593843491,301.088482274982,293.982942970109,-0.0590812585814351,8333405.99258389,12391401.8525018,13286525.3084705,17176637.5379732,0.864224894328048,0.0081026633673905,25,36,11,10,65,54,2,2,13,12
2016-01-30,"MAR-030",36.624573,-15.317267,2.66745097173102,2.5669929240857,2.12936071896745,297.196225325337,301.407863279847,294.169742461463,-0.0522876925149639,8176885.79250149,12371062.7954771,13030413.8365709,17165394.0486778,0.95796265494738,0.00314460328178526,25,36,11,10,65,54,2,2,13,12
2016-01-31,"MAR-030",36.624573,-15.317267,3.14643849404031,2.57298320712267,2.13494276197003,297.469739397877,301.00480555203,294.193480716752,-0.0576097774261014,8895223.11873407,12466118.563777,13560459.6157661,17118652.1257992,0.958756148301873,0.00150868500950569,25,36,11,10,65,54,2,2,13,12
2016-02-01,"MAR-030",36.624573,-15.317267,2.82669529635937,2.57897947169747,2.14048767159696,297.342618099521,300.304971491414,293.650485795623,-0.0565735262194721,7894924.48689973,12395537.2468832,12951371.2749302,17115832.9928433,0.87499300606819,0.003140147761598,25,36,11,10,65,54,2,2,13,12
2016-02-02,"MAR-030",36.624573,-15.317267,1.17539476172965,2.58499278693037,2.14607847176093,297.117984083624,301.009490533246,293.990272099016,-0.0548019669748799,7907255.71544107,12397975.503029,12897281.3906887,17094099.5897639,0.960695374849313,0.00383818105727,25,36,11,10,65,54,2,2,13,12
2016-02-03,"MAR-030",36.624573,-15.317267,0.394416580815523,2.59094506824885,2.15164301689488,298.111649273462,302.591877618775,293.466406291166,-0.0677880872186949,9598239.49460577,12402006.4981002,14490632.1761555,17075637.646987,0.695802114964979,0.000796575882283747,25,36,11,10,65,54,2,2,13,12
2016-02-04,"MAR-030",36.624573,-15.317267,1.09076104730559,2.59695471343716,2.15720405124767,298.259304066364,302.43693866386,293.555981278738,-0.0688254766950879,9392505.47431065,12416764.1365419,14288822.6157814,17050809.0826912,0.86624041831342,0.000981720080371392,25,36,11,10,65,54,2,2,13,12
2016-02-05,"MAR-030",36.624573,-15.317267,1.07766135412653,2.60295379446035,2.16277719459,298.54151376349,303.430656473736,294.263354801028,-0.0735395278956068,9414936.83609784,12396439.3975554,14056544.197763,17032065.0996597,0.897662246501763,0.000918622343102891,25,36,11,10,65,54,2,2,13,12
