"plot_group","sp_rich","sp_rich_raref","bchave_mean_95_0-0.05","bchave_mean_95_0.05-0.1","bchave_mean_95_0.1-0.15","bchave_mean_95_0.15-0.2","bchave_mean_95_0.2-0.25","bchave_mean_95_0.25-0.3","bchave_mean_95_0.3-0.35","bchave_mean_95_0.35-0.4","bchave_mean_95_0.4-0.45","bchave_mean_95_0.45-0.5","bchave_mean_95_0.5-0.55","bchave_mean_95_0.55-0.6","bchave_mean_95_0.6-0.65","bchave_mean_95_0.65-0.7","bchave_mean_95_0.7-0.75","bchave_mean_95_0.75-0.8","bchave_mean_95_0.8-0.85","bchave_mean_95_0.85-0.9","bchave_mean_95_0.9-0.95","bchave_mean_95_0.95-1"
"MLC-001",10,11.452,0.0342210420778833,0.0456415969828017,0.0620626631050838,0.0763409768812653,0.0888960964350265,0.0895471029124711,0.102711469910929,0.10664082340761,0.127228956779373,0.133192259769448,NA,0.142649294788394,0.157003781085904,0.339588564008166,NA,NA,0.197702244526345,0.559396334107686,0.559742511315648,0.627399709522347
"MLC-002",5,5.833,NA,NA,NA,NA,NA,NA,NA,0.0557644895318516,NA,0.0616816947759989,0.0889974228236038,NA,0.116681502675487,NA,0.140543312981885,NA,0.233649734230142,NA,0.247270490942276,NA
"MLC-003",6,8.1,NA,0.0347963565880735,0.040236191516227,NA,0.0536810866510555,0.054811938568393,NA,0.0843834279160929,0.105110329546077,NA,NA,0.139043458334568,0.184265143791081,NA,0.221536364542844,0.245353585774245,NA,NA,NA,NA
"MLC-004",7,6.235,NA,0.039602953816343,0.0530320944050985,0.0940196832230944,NA,NA,0.153570793365647,0.174897681018855,0.205192129061322,NA,NA,0.23044988333354,0.277044142418961,0.41943065131799,0.481085997762073,NA,0.535022574832138,0.680835023491072,0.725056898580094,NA
"MLC-005",6,5.923,NA,0.0403915575596131,NA,NA,NA,NA,0.0525515269171932,NA,0.0539141580889748,NA,NA,0.147650102281203,NA,0.162420746055409,0.18124701209471,NA,0.217326375377836,NA,0.37587495690808,NA
"MLC-006",7,18.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171435226433472,NA,NA,NA,NA,NA,0.259782095643929,NA,NA
"MLC-007",6,10.333,NA,NA,NA,NA,NA,NA,NA,0.0616425171362779,NA,NA,NA,NA,0.106320102535298,NA,NA,NA,NA,0.130735692467457,NA,NA
"MLC-008",4,4.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLC-009",8,13.833,NA,0.0401392874169802,0.0617454191594251,NA,0.098445610892941,0.114926676810825,NA,0.12456108298651,0.152512218456816,NA,NA,0.18703373835644,0.205476943839924,NA,0.233886317461891,0.416214246264203,NA,0.560748119524141,0.703562957393565,NA
"MLC-010",7,10.219,NA,0.03694825587654,0.038727549597979,NA,NA,0.0744862673222149,0.0772418386889432,NA,NA,0.0966401170871614,0.134481952027638,0.136379344571401,NA,0.187436947217947,0.233300297573263,NA,NA,NA,NA,NA
