"plotcode","fire_return_mean"
"MAR-256",NaN
"MAR-260",NaN
"MAR-262",NaN
"MAR-267",NaN
"MAR-268",NaN
"MAR-270",NaN
"MAR-280",NaN
"MAR-285",NaN
"MAR-292",NaN
"MAR-293",NaN
"MAR-296",NaN
"MAR-297",737
"MAR-299",NaN
"MAR-305",NaN
"MAR-306",NaN
"MAR-309",NaN
"MAR-310",NaN
"MAR-311",349
"MAR-312",349
"MAR-315",NaN
"MAR-329",2135.5
"MAR-330",1989.5
"MAR-331",1073
"MAR-332",NaN
"MAR-333",1122
"MAR-334",911
"MAR-335",1065
"MAR-336",568.5
"MAR-337",1738
"MAR-338",1066
"MAR-342",NaN
"MAR-345",4198
"MAR-346",NaN
"MAR-348",NaN
"MAR-352",NaN
"MAR-356",NaN
"MAR-359",1092
"MAR-362",3365
"MAR-364",2202
"MAR-371",NaN
"MAR-373",NaN
"MAR-374",NaN
"MAR-396",NaN
"MAR-398",NaN
"MAR-400",NaN
"MCF-2103",NaN
"MCF-2108",NaN
"MCF-2109",NaN
"MCF-2118",NaN
"MCF-2124",NaN
"MCF-2131",NaN
"MCF-2132",4063
"MCF-2142",NaN
"MCF-2143",NaN
"MCF-2148",NaN
"MCF-2152",NaN
"MCF-2153",NaN
"MCF-2157",NaN
"MCF-2162",NaN
"MCF-2201",NaN
"MCF-2202",3975
"MCF-2203",NaN
"MCF-2204",NaN
"MCF-2206",444.5
"MCF-2207",6190
"MCF-2208",NaN
"MCF-2210",NaN
"MCF-2211",4695
"MCF-2212",NaN
"MCF-2406",NaN
"MCF-2409",NaN
"MCF-2412",NaN
"MCF-2504",NaN
"MCF-2505",914.5
"MCF-2506",NaN
"MCL-001",NaN
"MCL-002",NaN
"MCL-003",NaN
"MCL-004",NaN
"MCL-005",NaN
"MCL-006",NaN
"MCL-007",NaN
"MCL-008",NaN
"MCL-009",NaN
"MCL-010",NaN
"MCL-011",NaN
"MCL-012",NaN
"MCL-013",NaN
"MCL-014",NaN
"MCL-015",NaN
"MCL-016",NaN
"MCL-017",NaN
"MCL-018",NaN
"MCL-019",NaN
"MCL-020",NaN
"MCL-021",NaN
"MCL-022",NaN
"MCL-023",NaN
"MCL-024",NaN
"MCL-025",NaN
"MCL-026",NaN
"MCL-027",NaN
"MCL-028",NaN
"MCL-029",NaN
"MCL-030",NaN
"MCL-031",NaN
"MCL-032",NaN
"MCL-033",NaN
"MCL-034",NaN
"MCL-035",NaN
"MCL-036",NaN
"MCL-037",NaN
"MCL-038",NaN
"MGR-001",477.692307692308
"MGR-002",564.454545454545
"MGR-003",611.5
"MGR-004",605.666666666667
"MGR-005",846.666666666667
"MGR-006",682.5
"MGR-007",1090.2
"MGR-008",1094.2
"MGR-009",607.666666666667
"MGR-010",388.125
"MGR-011",456.666666666667
"MGR-012",548.5
"MGR-013",445.461538461538
"MGR-014",680
"MGR-015",496.090909090909
"MLC-001",630.714285714286
"MLC-002",620.7
"MLC-003",684.125
"MLC-004",390.933333333333
"MLC-005",731.285714285714
"MLC-006",388.8125
"MLC-007",633.25
"MLC-008",1556.75
"MLC-009",547.9
"MLC-010",634.25
"MLC-011",981.166666666667
"MLC-012",413.6
"MLC-013",1556.75
"MLC-014",684.125
"MLC-015",620.8
"MLC-016",857.666666666667
"MLC-017",566.181818181818
"MLC-018",684.625
"MLC-019",375.5
"MLC-020",653.555555555556
"MLC-021",547.9
"MLC-022",2076.66666666667
"MLC-023",414.333333333333
"MLC-024",487.666666666667
"MLC-025",399
"MLC-026",621
"MLC-027",477.538461538462
"MLC-028",414.533333333333
"MLC-029",443.857142857143
"MLC-030",477.538461538462
"MLC-031",478.153846153846
"MLC-032",399
"MLC-033",414.333333333333
"MLC-034",736
"MLC-035",564.181818181818
"MLC-036",517.416666666667
"MLC-037",857.666666666667
"MLC-038",414.333333333333
"MLC-039",607.111111111111
"MLC-040",1557
"MLC-041",620.7
"MLC-042",775.25
"MLC-043",451.461538461538
"MLC-044",607.111111111111
"MLC-045",607.111111111111
"MLC-046",414.533333333333
"MLC-047",414.533333333333
"MLC-048",653.888888888889
"MLC-049",690.666666666667
"MLC-050",981.166666666667
"MLC-051",620.7
"MNF-1105",NaN
"MNF-1502",1108
"MNF-1504",NaN
"MNF-1505",NaN
"MNF-1510",1551.5
"MNF-1511",1243.8
"MNF-1512",2186
"MNR-001",1454.75
"MNR-002",1454.75
"MNR-003",NaN
"MNR-004",NaN
"MNR-005",1283.75
"MNR-006",2199.5
"MNR-007",477.769230769231
"MNR-008",478
"MNR-009",484.916666666667
"MNR-010",585
"MNR-011",585
"MNR-012",583.1
"MNR-013",500.545454545455
"MNR-014",415.8
"MNR-015",520.25
"MNR-016",754
"MNR-017",644.222222222222
"MNR-018",616
"MNR-019",1005.75
"MNR-020",1005.75
"MNR-021",744
"MNR-022",638.375
"MNR-023",1099.5
"MNR-024",1103.66666666667
"MNR-025",1707.66666666667
"MNR-026",960.4
"MNR-027",441
"MNR-028",561.363636363636
"MNR-029",486
"MNR-030",685.875
"MNR-031",685.25
"MNR-032",635.625
"MNR-033",566.909090909091
"MNR-034",1634
"MNR-035",501
"MNR-036",612.777777777778
"MNR-037",1365.25
"MNR-038",529
"MNR-039",688.555555555556
"MNR-040",725.25
"MNR-041",685.777777777778
"MNR-042",953.2
"MNR-043",663.8
"MNR-044",1082
"MNR-045",4422
"MNR-046",554.125
"MNR-047",618.2
"MNR-048",562.636363636364
"MNR-049",622.9
"MNR-050",563.090909090909
"SBT-002",NaN
"SBT-003",713
"SBT-004",2649
"SBT-006",793
"SBT-007",1570
"SBT-011",780.666666666667
"SBT-012",2283
"SBT-013",2283
"SBT-016",476
"SBT-017",1570.66666666667
"SBT-018",NaN
"SBT-028",NaN
"SBT-036",NaN
"SBT-038",2191
"SBT-041",NaN
"SBT-044",624.333333333333
"SBT-046",1273.5
"SBT-048",NaN
"SBT-050",NaN
"SBT-052",961.5
"SBT-053",NaN
"SBT-054",715
"SBT-055",835.714285714286
"SHD-630",NaN
"SHD-634",NaN
"SHD-635",788.833333333333
"SHD-636",NaN
"SHD-641",719.5
"SHD-642",629
"SHD-643",777.875
"SHD-648",1067.66666666667
"SHD-650",NaN
"SHD-652",737.666666666667
"SHD-654",1083.33333333333
"SHD-655",1082.66666666667
"SHD-657",1176.8
"SHD-660",733.333333333333
"SHD-661",397
"SHD-663",NaN
"SHD-667",NaN
"SHD-670",NaN
"SHD-672",NaN
"SHD-673",406
"SHD-674",NaN
"SHD-680",839.857142857143
"SHD-681",1184.25
"SHD-682",714.666666666667
"SHD-683",622.1
"SHD-684",NaN
"SHD-685",1618.5
"SHD-686",789
"SHD-687",1582.33333333333
"SHD-691",NaN
"SHD-692",NaN
"SHD-694",1070
"SHD-695",NaN
"SHD-696",NaN
"SHD-697",714.333333333333
"SHD-698",1071.5
"SHD-700",NaN
"SHD-702",NaN
"SHD-705",NaN
"SHD-707",400
"SHD-708",392
"SHD-709",NaN
"SHD-717",NaN
"SHD-720",535.75
"SHD-721",714.333333333333
"SHD-722",1467
"SHD-724",537.75
"SHD-726",2189.5
"SHD-727",537.75
"SHD-728",2189.5
"SHD-730",1438.5
"SHD-732",2866
"SHD-733",1075.5
"SHD-735",911.5
"SHD-736",1448
"SHD-737",748
"SHD-742",NaN
"SHD-743",2558
"SHD-744",788.833333333333
"SHD-746",4383
"SHD-747",1036.5
"SHD-751",1182.5
"SHD-753",1835
"SHD-757",NaN
"SHD-758",NaN
"SHD-759",NaN
"SHD-760",NaN
"SHD-761",1035.66666666667
"SHD-762",550.5
"SHD-763",525.888888888889
"SHD-764",1036.5
"SHD-765",788.5
"SHD-766",675.857142857143
"SHD-768",550.5
"SHD-769",985
"SHD-770",1243
"SHD-772",2367
"SHD-773",946.2
"SHD-775",716
"SHD-776",NaN
"SHD-777",714.333333333333
"SHD-781",NaN
"SHD-782",1097.66666666667
"SHD-783",2367
"SHD-786",1077.33333333333
"SHD-788",NaN
"SHD-789",455.333333333333
"SHD-790",1096.25
"SHD-792",NaN
"SHD-793",1462
"SHD-796",730.333333333333
"SHD-797",587
"SHD-798",735
"SHD-799",985.5
"SHD-801",2189.5
"SHD-802",2188.5
"SHD-803",NaN
"SHD-804",1451
"SHD-805",947.4
"SHD-806",801.2
"SHD-807",711.666666666667
"SHS-10",724.666666666667
"SHS-100",714.333333333333
"SHS-101",714.333333333333
"SHS-102",1608.5
"SHS-103",788
"SHS-104",788
"SHS-108",NaN
"SHS-109",NaN
"SHS-110",NaN
"SHS-12",NaN
"SHS-124",2485
"SHS-125",714.333333333333
"SHS-126",728.6
"SHS-127",947
"SHS-13",NaN
"SHS-137",NaN
"SHS-138",379
"SHS-139",NaN
"SHS-140",4378
"SHS-144",916
"SHS-145",1847
"SHS-148",918
"SHS-149",911.75
"SHS-150",737
"SHS-151",NaN
"SHS-156",2192
"SHS-158",918.833333333333
"SHS-16",NaN
"SHS-161",NaN
"SHS-162",NaN
"SHS-163",NaN
"SHS-165",NaN
"SHS-167",NaN
"SHS-17",NaN
"SHS-170",1096.25
"SHS-174",1641
"SHS-175",538
"SHS-176",814.5
"SHS-177",1183.75
"SHS-181",788.5
"SHS-182",675.857142857143
"SHS-183",525.888888888889
"SHS-186",1244.6
"SHS-188",888.142857142857
"SHS-19",NaN
"SHS-196",NaN
"SHS-200",1070
"SHS-201",NaN
"SHS-202",1070
"SHS-21",723
"SHS-22",1078.66666666667
"SHS-23",947
"SHS-24",1083
"SHS-26",1099.5
"SHS-27",980
"SHS-28",NaN
"SHS-3",1095
"SHS-32",879.6
"SHS-33",1083.33333333333
"SHS-34",1082.66666666667
"SHS-36",2880
"SHS-38",447
"SHS-39",1041.5
"SHS-4",1095
"SHS-41",437.6
"SHS-5",587
"SHS-67",NaN
"SHS-68",NaN
"SHS-7",482.333333333333
"SHS-71",NaN
"SHS-72",NaN
"SHS-78",1311
"SHS-8",731
"SHS-80",536
"SHS-82",1631
"SHS-83",NaN
"SHS-84",383
"SHS-85",383
"SHS-87",NaN
"SHS-88",NaN
"SHS-9",1004.5
"SHS-95",NaN
"SHS-97",910.75
"SHS-98",651.8
"SHS-99",636
"SSM-001",1103.5
"TKW-001",999.25
"TKW-002",NaN
"TKW-004",3728
"TKW-005",675.2
"TKW-006",595.625
"TKW-007",3346
"TKW-008",496.090909090909
"TKW-009",394.428571428571
"TKW-010",734
"TKW-011",587.9
"TKW-013",739.857142857143
"TKW-014",696.375
"TKW-015",505.454545454545
"TKW-016",416.8
"TKW-018",732.833333333333
"TKW-019",447
"TKW-020",426
"TKW-021",1115
"TKW-022",543.75
"TKW-023",744.5
"TKW-024",1814.66666666667
"TKW-025",451.307692307692
"VAS-002",1489
"VAS-003",1459.75
"VAS-004",1489
"VAS-005",1459.75
"VAS-006",1489
"VAS-007",1489
"VAS-008",1459.75
"VAS-009",1489
"VAS-010",1459.75
"VAS-011",1459.75
"VAS-013",1577.33333333333
"VAS-017",1577.33333333333
"VAS-018",973.166666666667
"VAS-019",973.166666666667
"VAS-020",973.166666666667
"VAS-021",739.142857142857
"VAS-022",1035.4
"VAS-023",739.142857142857
"VAS-024",1241.33333333333
"VAS-025",1241.33333333333
"VAS-026",1035.4
"VAS-027",1035.4
"VAS-028",862.333333333333
"VAS-029",1640.5
"VAS-030",862.333333333333
"VAS-031",1640.5
"VAS-032",NaN
"VAS-033",1640.5
"VAS-034",1640.5
"VAS-035",NaN
"VAS-036",1640.5
"VAS-037",NaN
"VAS-038",NaN
"VAS-039",NaN
"VAS-040",NaN
"VAS-042",NaN
"VAS-045",NaN
"VAS-046",NaN
"VAS-048",NaN
"VAS-053",NaN
"VAS-057",NaN
"VAS-058",NaN
"VAS-060",NaN
"VAS-062",NaN
"VAS-063",NaN
"VAS-064",3660
"VAS-065",NaN
"VAS-067",NaN
"VAS-069",NaN
"VAS-077",NaN
"VAS-080",NaN
"VAS-085",847.833333333333
"VAS-086",914.75
"VAS-088",2586.5
"VAS-091",2940
"VAS-095",783.285714285714
"VAS-096",923
"VAS-097",586
"VAS-098",1582.33333333333
"VAS-099",1582.33333333333
"VAS-100",730.25
"VAS-101",1099
"VAS-102",850.5
"VAS-103",1468
"VAS-104",1283
"VAS-105",1108.33333333333
"VAS-106",1663.5
"VAS-107",734.5
"VAS-108",852
"VAS-109",509.4
"VAS-110",948.8
"VAS-111",622
"VAS-112",836.714285714286
"VAS-113",654.333333333333
"VAS-114",841.571428571429
"VAS-115",788.2
"VAS-116",520.416666666667
"VAS-119",857.166666666667
"VAS-120",611.666666666667
"VAS-127",NaN
"VAS-128",1123
"VAS-129",607.333333333333
"VAS-131",488.777777777778
"VAS-132",1819
"VAS-133",NaN
"VAS-136",NaN
"VAS-138",NaN
"VAS-139",2561
"VAS-140",NaN
"VAS-142",904.5
"VAS-143",NaN
"VAS-144",NaN
"VAS-146",1038.33333333333
"VAS-148",NaN
"VAS-149",616
"VAS-150",1438
"VAS-151",973.666666666667
"VAS-152",1175.2
"VAS-153",836.142857142857
"VAS-154",975.833333333333
"VAS-155",392.923076923077
"VAS-156",432.727272727273
"VAS-157",490
"VAS-158",856.666666666667
"VAS-159",856.666666666667
"VAS-160",856.666666666667
"VAS-161",944.6
"VAS-162",904.5
"VAS-163",2058.5
"VAS-164",1892
"VAS-165",1114.5
"VAS-166",1007.5
"VAS-167",1034.16666666667
"VAS-168",725.25
"VAS-169",983
"VAS-170",842.714285714286
"VAS-171",737.25
"VAS-172",655.222222222222
"VAS-173",841.142857142857
"VAS-174",850.285714285714
"VAS-175",NaN
"VAS-177",NaN
"VAS-178",1816
"VAS-179",740
"VAS-180",367
"VAS-181",NaN
"VAS-182",1209.66666666667
"VAS-183",1448.5
"VAS-184",1180.75
"VAS-185",997
"VAS-187",1328
"VAS-188",1329
"VAS-189",1181.5
"VAS-191",NaN
"VAS-192",576
"VAS-193",586.875
"VAS-194",570.666666666667
"VAS-195",497.454545454545
"VAS-196",690.142857142857
"VAS-197",798.428571428571
"VAS-198",517.8
"VAS-199",593.7
"VAS-200",494.75
"VAS-201",693.875
"VAS-202",521.5
"VAS-203",744.125
"VAS-204",992.166666666667
"VAS-205",1619
"VAS-206",4154
"VAS-207",1657.5
"VAS-208",772.375
"VAS-209",2161
"VAS-210",1081
"VAS-211",960.666666666667
"VAS-212",561.454545454545
"VAS-214",1582.33333333333
"VAS-215",611.666666666667
